epoch,train_loss,val_loss,epoch_seconds,best_val_loss
1,6.100103973933629,2.222278272628784,0.8296017440002288,2.222278272628784
2,1.4235226342337473,1.4451107943852743,0.44469739700025457,1.4451107943852743
3,1.2580576401438033,1.3771588195164999,0.42340253200018196,1.3771588195164999
4,1.2608026106698171,1.2603485674858093,0.4324050509999324,1.2603485674858093
5,1.2001173268726895,1.4356860815684,0.4509755049998603,1.2603485674858093
6,1.2251960326603482,1.3442823049227397,0.43811691500013694,1.2603485674858093
7,1.2248462152481079,1.1576107056935627,0.4354298490002293,1.1576107056935627
8,1.125744034085955,1.1618643376032511,0.43516538299991225,1.1576107056935627
9,1.1266351360593523,1.1413703163464863,0.44207570199978363,1.1413703163464863
10,1.1623110649926323,1.0758665126164755,0.43366515699972297,1.0758665126164755
11,1.114676394190107,1.1219651228586833,0.44665103900024405,1.0758665126164755
12,1.1472358491761343,1.197543599128723,0.44038918799969906,1.0758665126164755
13,1.077156747477395,1.082832640647888,0.42867661999980555,1.0758665126164755
14,1.0959352974210466,1.084210746606191,0.4351131170001281,1.0758665126164755
15,1.081747738293239,1.057975988705953,0.43216242200014676,1.057975988705953
16,1.052158364023481,1.0798786420822144,0.4302913759997864,1.057975988705953
17,1.094162307194301,0.9816552500724792,0.4357988960000512,0.9816552500724792
18,1.0477493765694754,1.1400981971422832,0.41885132699962924,0.9816552500724792
19,1.0714354448318482,1.0138657406171163,0.4343851530002212,0.9816552500724792
20,1.096862694127219,1.0298940200805664,0.44510151700023926,0.9816552500724792
21,1.0155894621440342,0.9680414457321167,0.4375406419999308,0.9680414457321167
22,1.024995321410043,1.0036510122617086,0.5825200029998996,0.9680414457321167
23,1.0526650198527745,0.9774381713867187,0.5462059430001318,0.9680414457321167
24,1.0432516120501927,0.9465283020337423,0.5632486509998671,0.9465283020337423
25,1.0152371138163976,0.9370949613253275,0.5939549740000984,0.9370949613253275
26,1.0020333837781634,1.2462227590878805,0.49390400499987663,0.9370949613253275
27,0.9926700810704913,0.9032316409746806,0.44749820600009116,0.9032316409746806
28,0.9814111720493862,1.0092132776578266,0.42218690100025924,0.9032316409746806
29,0.9958141632080079,1.0343462540308634,0.43553360599980806,0.9032316409746806
30,0.9648561462674822,0.93408815574646,0.4338594760001797,0.9032316409746806
