epoch,train_loss,val_loss,epoch_seconds,best_val_loss
1,1.3272766984530857,0.5536940890947978,9.382034802000021,0.5536940890947978
2,0.27067102229595186,0.08072726784149806,8.899944888999983,0.08072726784149806
3,0.275264069710459,0.05987669281164805,9.106591944999991,0.05987669281164805
4,0.23607872997011456,0.1020869509379069,9.201700226000014,0.05987669281164805
5,0.23309131048406873,0.04333276855945587,8.728814449999959,0.04333276855945587
6,0.17627872008936746,0.03970905404289563,9.138741517000028,0.03970905404289563
7,0.21454751549448287,0.032693914274374646,9.002617463000036,0.032693914274374646
8,0.21261467627116612,0.17587841534614562,8.782157078000012,0.032693914274374646
9,0.19488304880687168,0.07586679099003474,9.099127865000014,0.032693914274374646
10,0.16759669368607658,0.03173855796456337,9.109708061999982,0.03173855796456337
11,0.1656866945368903,0.08357923353711764,9.09541837100005,0.03173855796456337
12,0.16446176614080157,0.059965539534886675,8.808731799000043,0.03173855796456337
13,0.15272731263296946,0.03473606732487679,9.133543674000009,0.03173855796456337
14,0.19034497221878596,0.16402800790468852,9.129543237000007,0.03173855796456337
15,0.15187693754264286,0.045729309385021524,8.700450632000013,0.03173855796456337
16,0.14816130117007664,0.03592928953965505,9.18625393900004,0.03173855796456337
17,0.14865089704309192,0.030645275195439657,9.03334548700002,0.030645275195439657
18,0.14212680723837443,0.02935701921582222,8.962587599000017,0.02935701921582222
19,0.15376215919426509,0.03371379602948824,8.861249782000016,0.02935701921582222
20,0.16646169804675237,0.0753623908162117,9.119752265000045,0.02935701921582222
21,0.12280854925939015,0.02963123468061288,9.156283583999993,0.02935701921582222
22,0.13605306925092425,0.0861536323428154,8.64330215299998,0.02935701921582222
23,0.1268687401839665,0.06018882401784261,9.081832917999975,0.02935701921582222
24,0.1349539554459708,0.023858650088310243,9.116431893999959,0.023858650088310243
25,0.13112504749638693,0.024626201793551444,8.781194573999983,0.023858650088310243
26,0.14424919128417968,0.08673031395673751,9.110537374999979,0.023858650088310243
27,0.12840123099940165,0.04618181884288788,9.110899238999991,0.023858650088310243
28,0.12079036060401371,0.04677211630344391,9.158791641999983,0.023858650088310243
29,0.11643802501474108,0.08417164839307467,8.786808979000057,0.023858650088310243
30,0.11864739983422416,0.04233913552761078,9.156287660999965,0.023858650088310243
